time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
29153,-0.057861328125,-0.019287109375,0.29248046875,-17.4375,36.0625,17
29155,-0.057861328125,-0.019287109375,0.29248046875,-17.4375,36.0625,17
29157,-0.072265625,-0.011474609375,0.250732421875,-22.25,35.875,15.75
29159,-0.072265625,-0.011474609375,0.250732421875,-22.25,35.875,15.75
29161,-0.08056640625,-0.0009765625,0.214599609375,-27.1875,36.5625,14.75
29164,-0.08056640625,-0.0009765625,0.214599609375,-27.1875,36.5625,14.75
29166,-0.09228515625,0.0126953125,0.175537109375,-32.1875,37.875,13.8125
29167,-0.09228515625,0.0126953125,0.175537109375,-32.1875,37.875,13.8125
29169,-0.09228515625,0.0126953125,0.175537109375,-32.1875,37.875,13.8125
29171,-0.115478515625,0.03857421875,0.12744140625,-37.8125,39.3125,13
29174,-0.115478515625,0.03857421875,0.12744140625,-37.8125,39.3125,11.1875
29177,-0.135986328125,0.0576171875,0.083984375,-44.4375,40.3125,11.1875
29179,-0.1572265625,0.067626953125,0.03955078125,-49.5625,41.3125,8.625
29181,-0.1572265625,0.067626953125,0.03955078125,-49.5625,41.3125,8.625
29183,-0.1572265625,0.067626953125,0.03955078125,-49.5625,42.0625,6.75
29185,-0.19677734375,0.07763671875,-0.0166015625,-53.0625,42.0625,6.75
29188,-0.19677734375,0.07763671875,-0.058349609375,-55.25,42.5,6
29190,-0.212890625,0.09814453125,-0.058349609375,-55.25,42.5,6
29192,-0.222900390625,0.128173828125,-0.101806640625,-55.75,43,5.6875
29194,-0.222900390625,0.128173828125,-0.101806640625,-55.75,43,5.6875
29196,-0.222900390625,0.169677734375,-0.14453125,-55,42.875,5.1875
29198,-0.23779296875,0.169677734375,-0.14453125,-55,42.875,5.1875
29200,-0.23779296875,0.169677734375,-0.14453125,-55,42.875,5.1875
29202,-0.245849609375,0.205322265625,-0.180908203125,-54.4375,43.4375,5.3125
29204,-0.245849609375,0.205322265625,-0.180908203125,-54.4375,43.4375,5.3125
29206,-0.24951171875,0.227783203125,-0.22509765625,-53.6875,45.5625,6.4375
29215,-0.252685546875,0.23876953125,-0.27099609375,-51.75,49.375,8.4375
29217,-0.263671875,0.24462890625,-0.31494140625,-47.25,55.75,11
29219,-0.284912109375,0.2470703125,-0.3525390625,-41.4375,63.5,14.25
29221,-0.284912109375,0.2470703125,-0.3525390625,-41.4375,63.5,14.25
29224,-0.292724609375,0.235595703125,-0.366943359375,-35.5625,72.375,16.875
29227,-0.292724609375,0.235595703125,-0.366943359375,-35.5625,72.375,16.875
29229,-0.332275390625,0.2177734375,-0.36279296875,-28.6875,80.875,18.6875
29233,-0.396728515625,0.205322265625,-0.363525390625,-21.0625,89.4375,20.5
29236,-0.396728515625,0.205322265625,-0.363525390625,-21.0625,89.4375,20.5
29239,-0.447021484375,0.22119140625,-0.326416015625,-16.5,96.625,23.3125
29241,-0.4814453125,0.21240234375,-0.292236328125,-11.4375,104.0625,24.0625
29244,-0.4814453125,0.21240234375,-0.292236328125,-11.4375,104.0625,24.0625
29248,-0.4814453125,0.204833984375,-0.266357421875,-5.625,111.375,23.8125
29250,-0.482666015625,0.2138671875,-0.246337890625,-1.5,116.4375,23.875
29252,-0.482666015625,0.2138671875,-0.246337890625,-1.5,116.4375,23.875
29254,-0.494873046875,0.23388671875,-0.2236328125,-0.125,120.25,23.8125
29257,-0.494873046875,0.23388671875,-0.2236328125,-0.125,120.25,23.8125
29259,-0.5087890625,0.255859375,-0.197998046875,-0.4375,124.625,23.0625
29262,-0.5087890625,0.255859375,-0.197998046875,-0.4375,124.625,23.0625
29267,-0.563232421875,0.306884765625,-0.1591796875,-1.6875,135,23.125
29269,-0.563232421875,0.306884765625,-0.1591796875,-1.6875,135,23.125
29271,-0.563232421875,0.306884765625,-0.1591796875,-1.6875,135,23.125
29273,-0.598876953125,0.3173828125,-0.146484375,-3.75,140.6875,23.75
29279,-0.625244140625,0.31201171875,-0.12841796875,-6.625,146.6875,24.3125
29280,-0.625244140625,0.31201171875,-0.12841796875,-6.625,146.6875,24.3125
29284,-0.645751953125,0.291259765625,-0.094482421875,-10.125,153.4375,24.875
29288,-0.6796875,0.260986328125,-0.0478515625,-12.6875,161.0625,25.3125
29290,-0.733154296875,0.21533203125,0.0029296875,-10.875,168.375,25.4375
29292,-0.733154296875,0.21533203125,0.0029296875,-10.875,168.375,25.4375
29294,-0.733154296875,0.21533203125,0.0029296875,-10.875,168.375,25.4375
29296,-0.78515625,0.164794921875,0.052734375,-3.4375,174.6875,24.875
29298,-0.78515625,0.102294921875,0.0947265625,9.875,181.25,21
29300,-0.822265625,0.09130859375,0.0947265625,9.875,181.25,21
29302,-0.822265625,0.09130859375,0.0947265625,9.875,181.25,21
29304,-0.943115234375,0.0810546875,0.145751953125,26.1875,186.75,16.5625
29306,-0.943115234375,0.0810546875,0.145751953125,26.1875,186.75,16.5625
29309,-0.998291015625,0.10302734375,0.205078125,42.9375,190.875,12.75
29311,-0.998291015625,0.10302734375,0.205078125,42.9375,190.875,12.75
29312,-0.98876953125,0.1318359375,0.275390625,61.0625,194.75,9.4375
29314,-0.98876953125,0.1318359375,0.275390625,61.0625,194.75,9.4375
29316,-1.0029296875,0.13037109375,0.39599609375,79.9375,201.9375,6.5
29319,-1.0029296875,0.13037109375,0.39599609375,79.9375,201.9375,6.5
29321,-1.033203125,0.144775390625,0.520263671875,98.125,210.375,6.375
29323,-1.033203125,0.144775390625,0.520263671875,98.125,210.375,6.375
29325,-0.989990234375,0.14208984375,0.612060546875,116.125,221.6875,-1.125
29327,-0.989990234375,0.14208984375,0.612060546875,116.125,221.6875,-1.125
29330,-0.983154296875,0.16748046875,0.72509765625,125.625,225.375,-20.875
29332,-0.983154296875,0.16748046875,0.72509765625,125.625,225.375,-20.875
29334,-1.06884765625,0.250732421875,0.8095703125,127.0625,233.8125,-22.125
29336,-1.06884765625,0.250732421875,0.8095703125,127.0625,233.8125,-22.125
29338,-1.06884765625,0.250732421875,0.8095703125,127.0625,233.8125,-22.125
29339,-1.150634765625,0.3720703125,0.88037109375,121.375,238.875,-13.1875
29342,-1.150634765625,0.3720703125,0.88037109375,121.375,238.875,-13.1875
29344,-1.149658203125,0.46533203125,0.98095703125,112.4375,239.75,-7.375
29345,-1.149658203125,0.46533203125,0.98095703125,112.4375,239.75,-7.375
29347,-1.15673828125,0.502685546875,1.103271484375,103.1875,239,-4.0625
29350,-1.15673828125,0.502685546875,1.103271484375,103.1875,239,-4.0625
29352,-1.234130859375,0.532958984375,1.233154296875,92.3125,236.1875,1
29354,-1.234130859375,0.532958984375,1.233154296875,92.3125,236.1875,1
29356,-1.3271484375,0.551513671875,1.364501953125,83.4375,232.6875,7.0625
29358,-1.3271484375,0.551513671875,1.364501953125,83.4375,232.6875,7.0625
29360,-1.3271484375,0.551513671875,1.489501953125,78.8125,229.3125,11.3125
