ventana,acc_x__mean,acc_x__var,acc_x__std,acc_x__skew,acc_x__kurtosis,acc_y__mean,acc_y__var,acc_y__std,acc_y__skew,acc_y__kurtosis,acc_z__mean,acc_z__var,acc_z__std,acc_z__skew,acc_z__kurtosis,gyro_x__mean,gyro_x__var,gyro_x__std,gyro_x__skew,gyro_x__kurtosis,gyro_y__mean,gyro_y__var,gyro_y__std,gyro_y__skew,gyro_y__kurtosis,gyro_z__mean,gyro_z__var,gyro_z__std,gyro_z__skew,gyro_z__kurtosis
18,1.28564453125,0.08189260959625244,0.28616884805347426,-1.035405072209973,-0.031133435299596002,-0.0519140625,0.015815052413940444,0.1257579119337644,0.3663620726426611,-0.7321541806150145,-0.77382568359375,0.018339581602811815,0.13542371137585846,-1.0931137126650026,0.44485523818973505,5.883125,66.61466054687502,8.161780476518283,0.17389618340401514,-0.47584383345711156,-20.69,1180.6580406249998,34.36070489127078,0.03962660995660317,-1.2206958682580582,40.4275,1393.756071875001,37.333042628146465,-1.4769904257281783,1.5263472562249003
19,0.75884033203125,0.039592117422819116,0.19897768071524785,-0.20663165730991975,-0.30018007551389303,-0.1182275390625,0.009619696879386894,0.09808005342263479,-0.32984441144089666,-1.0752857917591776,-0.30785400390625,0.18176867777705197,0.42634338012575257,0.020001425639773494,-1.092221777881264,-26.1625,1533.1485937500006,39.15544143219433,-0.1511035987106672,-1.0640590300447441,27.30625,571.1541796875001,23.898832182504236,-0.06343151061822895,-0.30789798129981527,15.50625,1434.1862890624993,37.87065208129508,-0.14825543513748968,-1.1521999620052543
20,0.859365234375,0.12096337666511532,0.3477978962919634,-0.32168157295265887,-0.8540803904582654,0.08900146484375,0.027279214113950723,0.16516420348837918,0.6352429097033568,-1.1198067933187856,0.75818115234375,0.09380182802081105,0.30627084095749474,0.27429897631957634,-1.416299989703946,-20.095,1436.390896875,37.89974797904334,-0.44134586241492,-1.344222179481036,75.469375,4096.045429296873,64.00035491539772,-0.17481430350599195,-1.4069876726033201,-6.5475,992.541025,31.504619105775586,0.3628533262509553,-0.7020843929604106
21,0.93979248046875,0.037050589197874066,0.19248529605628079,0.07843783901379789,-1.5913277246477944,-0.133916015625,0.01882007536888123,0.13718627981281958,0.08209131960917876,-0.9093840211982296,0.380693359375,0.05892591342926028,0.24274660333207607,0.667836484699746,-1.2455950327751657,6.87625,89.54859218749996,9.463011792632406,0.394899878197575,-1.2483531496604436,-16.85125,441.2256859375,21.00537278739656,-1.1596654399362125,0.12942262718686814,8.939375,714.501519921875,26.730161240102444,-0.12324945176502773,-0.7968665984058969
22,0.68526123046875,0.025293648308515534,0.15903976958143373,0.6583395074096166,-0.3615865140066594,-0.060185546875,0.018050277805328363,0.13435132230584246,0.22753989499058327,-0.6717618295154244,0.332939453125,0.15185544738769527,0.38968634488225945,0.15806071345242118,-1.1600130167324667,39.188125,58.62269492187498,7.656545887139643,-0.31266123088936915,-0.9641465591436589,-70.059375,297.353388671875,17.243937736835953,0.07527261394234386,-1.293229103184186,7.7925,1480.142881249999,38.47262508914616,0.2810336108312244,-1.3693712655779913
23,0.91783203125,0.021586438798904425,0.14692324118023134,-0.10580124064177115,-1.2319077197916302,-0.24460693359375,0.00389783989787102,0.06243268293026514,0.5222594487010525,-0.773248609686108,-0.56511962890625,0.0668202076613903,0.2584960496049994,-0.15057209484449452,-1.3964820180835031,-3.37875,290.35170468749993,17.03970964211245,0.5247141044580611,-1.3036625036301779,-42.319375,316.2860074218749,17.784431602440232,0.6877408086726591,-0.4878140339573087,-13.515625,259.654326171875,16.113793041114654,0.5613494287862244,-0.8327368542884837
24,1.09744873046875,0.02663970991969109,0.1632167574720534,-1.1267746157051959,-0.026718903710030162,-0.1276806640625,0.008945882296562197,0.09458267439950192,-0.7984378882304628,-0.3132221511226714,-0.684638671875,0.013828921413421635,0.11759643452682413,-0.280084105014579,-1.1512442343381033,-3.621875,81.69877929687496,9.038737704838821,-1.0996225537934392,0.2963690000869952,10.7,402.3378125000001,20.058360164779177,-0.863796393519325,-0.3253287863988277,-7.47125,945.5107359374996,30.749158296407067,-0.7197796666249355,-0.9962848163139064
25,0.88094970703125,0.027351870125532154,0.16538400807070844,-0.47285478276677795,-0.7108753240464423,-0.22825927734375,0.010000416487455364,0.10000208241559455,-0.29323371275132243,-0.3409264926902531,-0.76007568359375,0.03565826994776726,0.18883397455904818,0.9136195559022664,-0.8079681969022472,-12.885,237.01091562500005,15.395158837277387,-1.1031975378100725,1.748720695042997,-3.746875,963.0635449218742,31.033265134720743,0.2379718897444645,-1.6808513503196765,15.779375,227.79144179687498,15.092761238318023,-0.7897157565851779,-0.27528540593579764
26,0.70064453125,0.13884214844703682,0.37261528209003564,0.14567254893098316,-0.9399821938496666,-0.09312255859375,0.024353016918897644,0.1560545318755519,-0.1519917090270869,-1.3741608121802944,0.61874267578125,0.27822745520472514,0.527472705649046,-1.0221512322038298,-0.3136172232294867,-28.53625,1374.7673578125002,37.077855356162395,0.10064360095081015,-1.1978909221399185,117.766875,1158.3821761718752,34.0350139734344,-1.0331118928223624,-0.17422544934528394,19.791875,4525.053910546876,67.26852094811417,-0.12036486269603806,-1.517474537142199
27,0.88006103515625,0.007226617163419725,0.08500951219375233,0.3774106192955778,-0.5436128510032905,-0.09433837890625,0.020761621111631396,0.14408893473001802,1.1419752916251331,-0.34883417317833665,0.31184814453125,0.010414151018857955,0.10204974776479339,0.6938896488831351,-0.29496808442815947,1.83875,80.26767031249997,8.959222639967152,-0.6705647785447193,-0.13288828667940322,-1.67375,207.4362953125002,14.402648899160884,0.8816759352725608,-0.650272976947436,-5.885,759.8667749999995,27.565681108944133,-0.516024917544145,-0.5923162014916374
